target,seed,epoch,z_dim,n_samples,score_p_4th_moment,score_q_4th_moment,score_p_mean_norm,score_q_mean_norm,run_id,duration_sec
x_shaped,47,8000,2,10240,85.62921905517578,37.39786911010742,1.857961893081665,1.5827100276947021,seed47_dsivi_x_shaped,0.006
x_shaped,47,9000,2,10240,58.75624465942383,34.04527282714844,1.7214840650558472,1.681402564048767,seed47_dsivi_x_shaped,0.006
x_shaped,47,10000,2,10240,49.84488296508789,41.04671859741211,1.673910140991211,1.705691933631897,seed47_dsivi_x_shaped,0.009
Langevin_post,48,1000,100,10240,8018527744.0,22121840.0,295.28302001953125,67.93267059326172,seed48_dsivi_langevin_post,0.013
Langevin_post,48,2000,100,10240,2852748288.0,66632660.0,228.03872680664062,89.51252746582031,seed48_dsivi_langevin_post,0.012
Langevin_post,48,3000,100,10240,1439624064.0,137781840.0,192.25823974609375,107.33074951171875,seed48_dsivi_langevin_post,0.012
Langevin_post,48,4000,100,10240,893165376.0,235854544.0,170.6724853515625,122.799560546875,seed48_dsivi_langevin_post,0.012
Langevin_post,48,5000,100,10240,602106432.0,347069280.0,154.64480590820312,135.2386932373047,seed48_dsivi_langevin_post,0.016
Langevin_post,48,6000,100,10240,530007872.0,400779712.0,149.82225036621094,140.1575164794922,seed48_dsivi_langevin_post,0.012
Langevin_post,48,7000,100,10240,499376480.0,412113120.0,147.6977996826172,141.15794372558594,seed48_dsivi_langevin_post,0.015
Langevin_post,48,8000,100,10240,487692288.0,412997184.0,146.7593231201172,141.1715545654297,seed48_dsivi_langevin_post,0.015
Langevin_post,48,9000,100,10240,486397856.0,418325536.0,146.63670349121094,141.60350036621094,seed48_dsivi_langevin_post,0.017
Langevin_post,48,10000,100,10240,480883712.0,419015904.0,146.26791381835938,141.68275451660156,seed48_dsivi_langevin_post,0.014
x_shaped,48,1000,2,10240,1424.2083740234375,0.9417064785957336,3.6567788124084473,0.6662539839744568,seed48_dsivi_x_shaped,0.082
x_shaped,48,2000,2,10240,361.2140197753906,6.958958625793457,2.6505126953125,1.0728949308395386,seed48_dsivi_x_shaped,0.007
x_shaped,48,3000,2,10240,204.3188934326172,13.556589126586914,2.284592866897583,1.3062174320220947,seed48_dsivi_x_shaped,0.006
x_shaped,48,4000,2,10240,87.56080627441406,34.35364532470703,1.934577226638794,1.6371992826461792,seed48_dsivi_x_shaped,0.006
x_shaped,48,5000,2,10240,44.40287780761719,45.23842239379883,1.693258285522461,1.7118778228759766,seed48_dsivi_x_shaped,0.009
x_shaped,48,6000,2,10240,48.01568603515625,43.550472259521484,1.7204853296279907,1.7611074447631836,seed48_dsivi_x_shaped,0.006
x_shaped,48,7000,2,10240,47.75896072387695,47.58330535888672,1.7089070081710815,1.6970432996749878,seed48_dsivi_x_shaped,0.006
x_shaped,48,8000,2,10240,44.060665130615234,42.97275161743164,1.6853595972061157,1.6865301132202148,seed48_dsivi_x_shaped,0.006
x_shaped,48,9000,2,10240,44.17646408081055,51.396339416503906,1.7011350393295288,1.7526562213897705,seed48_dsivi_x_shaped,0.006
x_shaped,48,10000,2,10240,47.585914611816406,47.286922454833984,1.7178457975387573,1.7506122589111328,seed48_dsivi_x_shaped,0.009
Langevin_post,49,1000,100,10240,8134209024.0,20940626.0,296.224365234375,67.00152587890625,seed49_dsivi_langevin_post,0.012
Langevin_post,49,2000,100,10240,2835367680.0,62910108.0,227.75390625,88.2287368774414,seed49_dsivi_langevin_post,0.014
Langevin_post,49,3000,100,10240,1421092992.0,133090304.0,191.66043090820312,106.4010009765625,seed49_dsivi_langevin_post,0.014
Langevin_post,49,4000,100,10240,879753024.0,227517296.0,169.94859313964844,121.6825942993164,seed49_dsivi_langevin_post,0.014
Langevin_post,49,5000,100,10240,597392384.0,342054208.0,154.2720184326172,134.7107391357422,seed49_dsivi_langevin_post,0.014
Langevin_post,49,6000,100,10240,523278592.0,401018720.0,149.3354034423828,140.19203186035156,seed49_dsivi_langevin_post,0.015
