method,target,seed,epoch,batch_size,repetition,latency_ms
AISIVI,x_shaped,42,10000,1,11,5.445321
AISIVI,x_shaped,42,10000,1,12,5.503762
AISIVI,x_shaped,42,10000,1,13,5.471004
AISIVI,x_shaped,42,10000,1,14,5.443336
AISIVI,x_shaped,42,10000,1,15,5.505719
AISIVI,x_shaped,42,10000,1,16,5.45723
AISIVI,x_shaped,42,10000,1,17,5.42855
AISIVI,x_shaped,42,10000,1,18,5.7976
AISIVI,x_shaped,42,10000,1,19,5.49502
AISIVI,x_shaped,42,10000,1,20,5.473838
AISIVI,x_shaped,42,10000,1,21,5.427452
AISIVI,x_shaped,42,10000,1,22,5.463784
AISIVI,x_shaped,42,10000,1,23,5.471125
AISIVI,x_shaped,42,10000,1,24,5.422356
AISIVI,x_shaped,42,10000,1,25,5.438387
AISIVI,x_shaped,42,10000,1,26,5.428635
AISIVI,x_shaped,42,10000,1,27,5.42573
AISIVI,x_shaped,42,10000,1,28,5.477675
AISIVI,x_shaped,42,10000,1,29,5.435685
AISIVI,x_shaped,42,10000,1,30,5.48151
AISIVI,x_shaped,42,10000,1,31,5.442531
AISIVI,x_shaped,42,10000,1,32,5.467743
AISIVI,x_shaped,42,10000,1,33,5.431155
AISIVI,x_shaped,42,10000,1,34,5.474415
AISIVI,x_shaped,42,10000,1,35,5.423572
AISIVI,x_shaped,42,10000,1,36,5.465715
AISIVI,x_shaped,42,10000,1,37,5.428903
AISIVI,x_shaped,42,10000,1,38,5.45476
AISIVI,x_shaped,42,10000,1,39,5.540174
AISIVI,x_shaped,42,10000,1,40,5.43143
AISIVI,x_shaped,42,10000,1,41,5.480833
AISIVI,x_shaped,42,10000,1,42,5.420379
AISIVI,x_shaped,42,10000,1,43,5.458235
AISIVI,x_shaped,42,10000,1,44,5.423777
AISIVI,x_shaped,42,10000,1,45,5.453209
AISIVI,x_shaped,42,10000,1,46,5.450373
AISIVI,x_shaped,42,10000,1,47,5.42405
AISIVI,x_shaped,42,10000,1,48,5.411444
AISIVI,x_shaped,42,10000,1,49,5.427061
AISIVI,x_shaped,42,10000,1,50,5.442729
AISIVI,x_shaped,42,10000,1,51,5.437012
AISIVI,x_shaped,42,10000,1,52,5.467455
AISIVI,x_shaped,42,10000,1,53,5.461511
AISIVI,x_shaped,42,10000,1,54,5.466942
AISIVI,x_shaped,42,10000,1,55,5.836426
AISIVI,x_shaped,42,10000,1,56,5.499002
AISIVI,x_shaped,42,10000,1,57,5.396161
AISIVI,x_shaped,42,10000,1,58,5.415921
AISIVI,x_shaped,42,10000,1,59,5.418136
AISIVI,x_shaped,42,10000,1,60,5.406569
AISIVI,x_shaped,42,10000,1,61,5.450399
AISIVI,x_shaped,42,10000,1,62,5.425653
AISIVI,x_shaped,42,10000,1,63,5.427244
AISIVI,x_shaped,42,10000,1,64,5.432712
AISIVI,x_shaped,42,10000,1,65,5.479999
AISIVI,x_shaped,42,10000,1,66,5.4007
AISIVI,x_shaped,42,10000,1,67,5.465136
AISIVI,x_shaped,42,10000,1,68,5.394085
AISIVI,x_shaped,42,10000,1,69,5.455457
AISIVI,x_shaped,42,10000,1,70,5.420964
AISIVI,x_shaped,42,10000,1,71,5.45632
AISIVI,x_shaped,42,10000,1,72,5.417519
AISIVI,x_shaped,42,10000,1,73,5.443793
AISIVI,x_shaped,42,10000,1,74,5.4067
AISIVI,x_shaped,42,10000,1,75,5.438691
AISIVI,x_shaped,42,10000,1,76,5.404597
AISIVI,x_shaped,42,10000,1,77,5.437957
AISIVI,x_shaped,42,10000,1,78,5.457511
AISIVI,x_shaped,42,10000,1,79,5.426756
AISIVI,x_shaped,42,10000,1,80,5.427844
AISIVI,x_shaped,42,10000,1,81,5.406416
AISIVI,x_shaped,42,10000,1,82,5.406468
AISIVI,x_shaped,42,10000,1,83,5.396158
AISIVI,x_shaped,42,10000,1,84,5.453639
AISIVI,x_shaped,42,10000,1,85,5.463264
AISIVI,x_shaped,42,10000,1,86,5.457434
AISIVI,x_shaped,42,10000,1,87,5.488337
AISIVI,x_shaped,42,10000,1,88,5.518096
AISIVI,x_shaped,42,10000,1,89,5.432135
AISIVI,x_shaped,42,10000,1,90,5.449926
AISIVI,x_shaped,42,10000,1,91,5.44147
AISIVI,x_shaped,42,10000,1,92,5.458715
AISIVI,x_shaped,42,10000,1,93,5.452405
AISIVI,x_shaped,42,10000,1,94,5.475171
AISIVI,x_shaped,42,10000,1,95,5.870844
AISIVI,x_shaped,42,10000,1,96,5.485052
AISIVI,x_shaped,42,10000,1,97,5.431488
AISIVI,x_shaped,42,10000,1,98,5.432416
AISIVI,x_shaped,42,10000,1,99,5.441186
AISIVI,x_shaped,42,10000,1,100,5.393452
AISIVI,x_shaped,42,10000,128,1,8.786493
AISIVI,x_shaped,42,10000,128,2,8.73349
AISIVI,x_shaped,42,10000,128,3,8.688854
AISIVI,x_shaped,42,10000,128,4,8.731517
AISIVI,x_shaped,42,10000,128,5,8.706739
AISIVI,x_shaped,42,10000,128,6,8.731192
AISIVI,x_shaped,42,10000,128,7,8.712573
AISIVI,x_shaped,42,10000,128,8,8.74423
AISIVI,x_shaped,42,10000,128,9,8.710708
AISIVI,x_shaped,42,10000,128,10,8.813486
AISIVI,x_shaped,42,10000,128,11,8.51481
AISIVI,x_shaped,42,10000,128,12,8.020005
AISIVI,x_shaped,42,10000,128,13,7.997568
AISIVI,x_shaped,42,10000,128,14,8.017882
AISIVI,x_shaped,42,10000,128,15,7.992951
AISIVI,x_shaped,42,10000,128,16,7.999603
AISIVI,x_shaped,42,10000,128,17,7.999961
AISIVI,x_shaped,42,10000,128,18,7.997475
AISIVI,x_shaped,42,10000,128,19,8.028055
AISIVI,x_shaped,42,10000,128,20,8.266684
AISIVI,x_shaped,42,10000,128,21,8.028009
AISIVI,x_shaped,42,10000,128,22,8.027188
AISIVI,x_shaped,42,10000,128,23,8.016682
AISIVI,x_shaped,42,10000,128,24,8.012126
AISIVI,x_shaped,42,10000,128,25,8.016514
AISIVI,x_shaped,42,10000,128,26,8.033116
AISIVI,x_shaped,42,10000,128,27,8.024016
AISIVI,x_shaped,42,10000,128,28,8.019073
AISIVI,x_shaped,42,10000,128,29,8.010182
AISIVI,x_shaped,42,10000,128,30,8.013396
AISIVI,x_shaped,42,10000,128,31,8.02537
AISIVI,x_shaped,42,10000,128,32,8.010814
AISIVI,x_shaped,42,10000,128,33,8.005276
AISIVI,x_shaped,42,10000,128,34,8.015489
AISIVI,x_shaped,42,10000,128,35,8.027665
AISIVI,x_shaped,42,10000,128,36,8.026413
AISIVI,x_shaped,42,10000,128,37,8.024423
AISIVI,x_shaped,42,10000,128,38,8.048242
AISIVI,x_shaped,42,10000,128,39,8.015041
AISIVI,x_shaped,42,10000,128,40,8.044538
