2026-03-28 21:56:20 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 1900, VI KSD: 4.7469
2026-03-28 21:56:34 | DEBUG | sivi:base_runner.py:874| learn | Epoch 2000: Avg Loss: 7.4069, Avg Epoch Time: 0.1482s
2026-03-28 21:56:34 | DEBUG | sivi:base_reverse_runner.py:183| _training_rev_log_func | Epoch 2000, Inner epoch 1, Reverse Model Loss: 116.5927, Avg Steps: 1.0000
2026-03-28 21:56:34 | DEBUG | sivi:base_runner.py:588| save_samples | Saved 1000 samples at epoch 2000.
2026-03-28 21:56:34 | DEBUG | sivi:base_runner.py:607| save_checkpoint | Saved VIModel checkpoints at epoch 2000 to results/AISIVI/Langevin_post/20260328_214950/checkpoints/epoch_2000.
2026-03-28 21:56:34 | DEBUG | sivi:base_reverse_runner.py:476| save_checkpoint | Saved reverse checkpoints at epoch 2000 to results/AISIVI/Langevin_post/20260328_214950/checkpoints/epoch_2000.
2026-03-28 21:56:34 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 2000, VI W2 to baseline: 0.1826
2026-03-28 21:56:34 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 2000, Reverse Model W2: 0.0649
2026-03-28 21:56:34 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 2000, ELBO: -120.0069, Std Total: 119.2067, Std Q: nan, CI Half: 3.3042
2026-03-28 21:56:35 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 2000, VI KSD: 4.3986
2026-03-28 21:56:37 | DEBUG | sivi:base_runner.py:978| learn | Saved trace plot at epoch 2000.
2026-03-28 21:56:50 | DEBUG | sivi:base_runner.py:874| learn | Epoch 2100: Avg Loss: 14.5501, Avg Epoch Time: 0.1554s
2026-03-28 21:56:50 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 2100, VI W2 to baseline: 0.1658
2026-03-28 21:56:50 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 2100, Reverse Model W2: 0.0268
2026-03-28 21:56:50 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 2100, ELBO: -113.3356, Std Total: 114.3518, Std Q: nan, CI Half: 3.1697
2026-03-28 21:56:50 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 2100, VI KSD: 3.6066
2026-03-28 21:57:05 | DEBUG | sivi:base_runner.py:874| learn | Epoch 2200: Avg Loss: 14.7973, Avg Epoch Time: 0.1515s
2026-03-28 21:57:05 | DEBUG | sivi:base_runner.py:347| eval_w2 | Epoch 2200, VI W2 to baseline: 0.1386
2026-03-28 21:57:05 | DEBUG | sivi:base_reverse_runner.py:272| eval_w2 | Epoch 2200, Reverse Model W2: 0.0265
2026-03-28 21:57:05 | DEBUG | sivi:base_runner.py:477| eval_elbo | Epoch 2200, ELBO: -102.2460, Std Total: 120.4349, Std Q: nan, CI Half: 3.3383
2026-03-28 21:57:05 | DEBUG | sivi:base_runner.py:507| eval_ksd | Epoch 2200, VI KSD: 2.6396
2026-03-28 21:57:20 | DEBUG | sivi:base_runner.py:874| learn | Epoch 2300: Avg Loss: 5.7162, Avg Epoch Time: 0.1480s
