sampler,chain,draw,epsilon_0,epsilon_1
MALA_tail,8,35,-0.39567336,-0.17830265
MALA_tail,8,36,-0.41325036,-0.13864022
MALA_tail,8,37,-0.38241270,-0.16954319
MALA_tail,8,38,-0.36775652,-0.19157635
MALA_tail,8,39,-0.36838743,-0.17705470
MALA_tail,8,40,-0.36996698,-0.18482351
MALA_tail,8,41,-0.34618089,-0.12485727
MALA_tail,8,42,-0.35507533,-0.09617014
MALA_tail,8,43,-0.28846210,-0.12209167
MALA_tail,8,44,-0.26815218,-0.09433560
MALA_tail,8,45,-0.29384303,-0.09832957
MALA_tail,8,46,-0.25831598,-0.05168393
MALA_tail,8,47,-0.28263089,-0.02406886
MALA_tail,8,48,-0.28126833,-0.03193426
MALA_tail,8,49,-0.22930276,-0.04994290
MALA_tail,9,0,-0.02448661,0.19457571
MALA_tail,9,1,-0.03338548,0.20091949
MALA_tail,9,2,-0.05574172,0.21867172
MALA_tail,9,3,-0.03797386,0.16229513
MALA_tail,9,4,-0.00443753,0.13154803
MALA_tail,9,5,0.00670978,0.22666478
MALA_tail,9,6,-0.00452553,0.24123690
MALA_tail,9,7,-0.00229393,0.22309883
MALA_tail,9,8,-0.04200240,0.25969511
MALA_tail,9,9,-0.07996035,0.29482761
MALA_tail,9,10,-0.07071336,0.28767005
MALA_tail,9,11,-0.05856445,0.23438643
MALA_tail,9,12,0.00732594,0.21456841
MALA_tail,9,13,0.00983272,0.21444771
MALA_tail,9,14,-0.00630433,0.20247200
MALA_tail,9,15,-0.06695318,0.20804179
MALA_tail,9,16,-0.08763762,0.24101132
MALA_tail,9,17,-0.12058380,0.19992015
MALA_tail,9,18,-0.08643481,0.26986745
MALA_tail,9,19,-0.11095419,0.25361031
MALA_tail,9,20,-0.11568809,0.21923877
MALA_tail,9,21,-0.08612889,0.23757881
MALA_tail,9,22,-0.03659498,0.23413652
MALA_tail,9,23,-0.02131831,0.21369593
MALA_tail,9,24,-0.01684355,0.25232273
MALA_tail,9,25,-0.01457211,0.25969556
MALA_tail,9,26,-0.09482522,0.23313279
MALA_tail,9,27,-0.10227285,0.25273046
MALA_tail,9,28,-0.11685385,0.29058373
MALA_tail,9,29,-0.12854430,0.36088550
MALA_tail,9,30,-0.13883649,0.39984456
MALA_tail,9,31,-0.20867802,0.36117050
MALA_tail,9,32,-0.21829908,0.39344117
MALA_tail,9,33,-0.17746268,0.39781162
MALA_tail,9,34,-0.19351240,0.37829381
MALA_tail,9,35,-0.15481463,0.40925199
MALA_tail,9,36,-0.12693353,0.37977391
MALA_tail,9,37,-0.12190401,0.41484833
MALA_tail,9,38,-0.15525520,0.41486412
MALA_tail,9,39,-0.09811293,0.42053908
MALA_tail,9,40,-0.12900324,0.46845126
MALA_tail,9,41,-0.10401175,0.44786176
MALA_tail,9,42,-0.12890229,0.46359989
MALA_tail,9,43,-0.09582431,0.43443638
MALA_tail,9,44,-0.05953705,0.42685780
